token,symbol,ltp,level,taps
256777,NIFTY MIDCAP 100,58815.75,59700.3,6
262665,NIFTY PSE,10250.75,9879.45,5
257545,NIFTY CONSUMPTION,11600.9,11275.9,5
260105,NIFTY BANK,53281.45,53888.3,5
262409,NIFTY PHARMA,22114.95,21933.7,5
264457,NIFTY 200,13985.1,14354.95,5
261641,NIFTY ENERGY,37062.4,36854.95,5
256265,NIFTY 50,24672.8,25333.65,5
256777,NIFTY MIDCAP 100,58815.75,57909.85,5
257545,NIFTY CONSUMPTION,11600.9,11727.2,4
263177,NIFTY SERV SECTOR,33150.5,33147.4,4
263433,NIFTY AUTO,23706.2,23091.8,4
264457,NIFTY 200,13985.1,14451.3,4
262409,NIFTY PHARMA,22114.95,21475.95,4
262665,NIFTY PSE,10250.75,9911.35,3
263433,NIFTY AUTO,23706.2,24111.95,3
263689,NIFTY METAL,9405.75,9671.25,3
263433,NIFTY AUTO,23706.2,24243.8,3
256777,NIFTY MIDCAP 100,58815.75,60925.95,2
